,pais,Participación,conteo
Símbolos,Abejas,0.16%,8
,Abrazo,0.27%,14
,Acetre,0.06%,3
,Agnus Dei,0.02%,1
,Agua,1.07%,55
,Aguja,0.02%,1
,Alas,5.64%,289
,Alma,0.12%,6
,Altar,1.72%,88
,Amancay roja,0.04%,2
,Anagrama,0.33%,17
,Anagrama ihs,0.53%,27
,Ancestros,0.02%,1
,Anillo,0.37%,19
,Anillos,0.02%,1
,Animales,0.60%,31
,Animas del purgatorio,0.70%,36
,Antorcha,0.25%,13
,Aparición,1.23%,63
,Apóstol,0.16%,8
,Arca de la alianza,0.06%,3
,Arcabuz,0.02%,1
,Arco,0.10%,5
,Arco de flores,0.02%,1
,Arco de medio punto,0.59%,30
,Arco iris,0.08%,4
,Arco y carcaj,0.10%,5
,Arcángel,3.94%,202
,Armadura,0.43%,22
,Aros de oro,0.02%,1
,Arpa,0.57%,29
,Arrodillado,0.60%,31
,Asiento,0.45%,23
,Asno,1.48%,76
,Asunción,0.04%,2
,Ataud,0.74%,38
,Aureola,26.60%,1363
,"Aureola de luz
Descanso",0.08%,4
,Aureola de rayos,18.40%,943
,Aureola triangular,1.33%,68
,Ave bicéfala,0.04%,2
,Aves,2.87%,147
,Ayate,0.31%,16
,Azadón,0.02%,1
,Azucenas,8.78%,450
,Balanza,0.06%,3
,Baldosas en cuadricula,0.02%,1
,Bandeja,0.35%,18
,Bandera,0.41%,21
,Bandera marina española,0.02%,1
,Bandolina,0.02%,1
,Bara,0.04%,2
,Barco,0.27%,14
,Bastón,5.60%,287
,Bastón con flores,2.52%,129
,Bastón florido,1.91%,98
,Batalla,0.02%,1
,Bebé,0.04%,2
,Beso,0.25%,13
,Bestia,0.06%,3
,Biblia,0.62%,32
,Bolsa de monedas,0.04%,2
,Bordado dorado,0.27%,14
,Bordados,1.25%,64
,Bosque,0.21%,11
,Bote,0.04%,2
,Botella,0.02%,1
,Brocado de flores,1.29%,66
,Brocados,2.32%,119
,Brocados dorados,1.29%,66
,Buey,0.25%,13
,Burro,0.31%,16
,Báculo,1.87%,96
,Caballo,1.00%,51
,Cabeza,0.02%,1
,Cadena,0.43%,22
,Cadáver,0.10%,5
,Caldero,0.10%,5
,Calzas,2.40%,123
,Cama,1.05%,54
,Cama de paja,1.17%,60
,Cama de troncos,0.02%,1
,Camello,0.31%,16
,Camino,0.94%,48
,Campana,0.10%,5
,Canasta,1.83%,94
,Canasta con huevos,0.49%,25
,Canasta con palomas,0.45%,23
,"Canasta con palomas
Florero",0.02%,1
,Canasta con tela,0.23%,12
,Canasta de Flores,0.18%,9
,Candelabro,0.31%,16
,Capa,2.79%,143
,Capa amarilla,0.84%,43
,Capa azul,1.68%,86
,Capa blanca,0.16%,8
,Capa café,0.27%,14
,Capa dorada,0.23%,12
,Capa real,0.02%,1
,Capa roja,0.49%,25
,Casa,0.82%,42
,Cascada,0.02%,1
,Casco,1.01%,52
,Castillo,0.10%,5
,Casulla,0.08%,4
,Cayado,0.10%,5
,Caña,0.02%,1
,Cañón,0.02%,1
,Cedro,0.25%,13
,Cena,0.14%,7
,Cerdo,0.02%,1
,Ceremonia,0.06%,3
,Cetro,7.41%,380
,Cetro florido,0.33%,17
,Charitas,0.04%,2
,Choza,0.18%,9
,Cielo,2.60%,133
,Ciervo,0.02%,1
,Cilicios,0.02%,1
,Cintas,0.06%,3
,Ciprés,0.47%,24
,Cirios,1.46%,75
,Cisne,0.02%,1
,Ciudad,0.82%,42
,Ciudad de dios,0.20%,10
,Ciudad miniatura,0.49%,25
,Clavel,0.39%,20
,Clavos,1.35%,69
,Clero,0.02%,1
,Cocina,0.04%,2
,Cofres,0.53%,27
,Collar,0.45%,23
,Columna,3.06%,157
,Columna rota,0.29%,15
,Columnas con santos,0.06%,3
,Columnas doradas,0.10%,5
,Columnas ondulantes,0.12%,6
,Comercio,0.02%,1
,Comida,0.04%,2
,Compás,0.04%,2
,Concha,0.08%,4
,Copa,0.06%,3
,Corazón,1.39%,71
,Corazón con cruz,0.04%,2
,Corazón de María,0.06%,3
,Corazón flameante,1.72%,88
,Cordero,2.46%,126
,Cordón,0.25%,13
,Cordón con flor roja,0.02%,1
,Cordón de tres dobleces,1.00%,51
,Cordón franciscano,0.12%,6
,Cordón negro,0.02%,1
,Corneta,0.04%,2
,Cornucopia,0.02%,1
,Corona,28.84%,1478
,Corona con cuernos,0.31%,16
,Corona de espinas,2.36%,121
,Corona de flores,2.56%,131
,Corona de laurel,0.41%,21
,Correa,0.04%,2
,Corte celestial,0.10%,5
,Cortina roja,0.72%,37
,Cortinas,2.07%,106
,Cosecha de trigo,0.02%,1
,Cristo crucificado,0.49%,25
,Crucifijo,2.13%,109
,Cruz,7.12%,365
,Cruz con espada y cetro,0.08%,4
,Cruz dominica,0.04%,2
,Cruz en forma de aspa,1.74%,89
,Cruz en forma de bastón,0.62%,32
,Cruz papal,0.31%,16
,Cráneo,0.31%,16
,Cuatro plumas,0.16%,8
,Cuchara,0.02%,1
,Cuchillo,3.06%,157
,Cuenco,0.02%,1
,Cuerda,0.66%,34
,Cuerno,0.02%,1
,Cueva,0.02%,1
,Cuna,0.21%,11
,Custodia,0.33%,17
,Cáliz,0.51%,26
,Cántaro,0.06%,3
,Cíngulo,0.02%,1
,Dados,0.16%,8
,Daga,1.78%,91
,Dedo,0.27%,14
,Demonio,0.25%,13
,Demonios,0.08%,4
,Descalzo,0.74%,38
,Descanso,0.02%,1
,Devoción,1.33%,68
,Diablo,0.04%,2
,Diadema,0.02%,1
,Dios,1.68%,86
,Distracción,0.08%,4
,Doce estrellas,13.23%,678
,Doctores,0.02%,1
,Donante,0.37%,19
,Dorado,0.14%,7
,Dos aves,0.37%,19
,Dos dedos levantados,0.10%,5
,Dos floreros,0.02%,1
,Dos velas,0.33%,17
,Dragón,1.03%,53
,Eclipse,0.04%,2
,Edificación,0.20%,10
,Elefante,0.04%,2
,Encuentro,0.02%,1
,Enfermedad,0.02%,1
,Enredadera de flores,0.12%,6
,Equipaje,0.27%,14
,Escalera,3.16%,162
,Escalón,0.53%,27
,Escapulario,3.80%,195
,Escoba,0.04%,2
,Escribano,0.06%,3
,Escritura,0.02%,1
,Escudo,0.59%,30
,Escudo carmelita,0.04%,2
,Escudo heráldico,0.06%,3
,Escudo papal,0.02%,1
,Escultura,0.04%,2
,Escultura rota,0.14%,7
,Esfera,0.78%,40
,Espada,1.50%,77
,Espada flamigera,0.06%,3
,Espadas enfundadas,0.02%,1
,Espejo,3.41%,175
,Espigas,0.16%,8
,Espinas,0.02%,1
,Esponja,0.02%,1
,Espíritu santo,3.73%,191
,Espíritu santo personificado,0.04%,2
,Estandarte,0.18%,9
,Estandarte con cruz,0.18%,9
,Estatua,0.08%,4
,Estigma,1.05%,54
,Estigmas,1.07%,55
,Estola,0.20%,10
,Estopa,0.16%,8
,Estrella,2.30%,118
,Estrella fugaz,0.14%,7
,Estufa,0.02%,1
,Eucaristía,0.29%,15
,Familia,0.68%,35
,Faro,0.02%,1
,Farol,0.04%,2
,Fauces de la bestia,0.39%,20
,Flagelación,0.04%,2
,Flagelantes,0.02%,1
,Flauta,0.10%,5
,Flecha en llamas,0.02%,1
,Flechas,0.25%,13
,Flor,0.20%,10
,Flor con raíces y tierra,0.04%,2
,Flor roja,0.06%,3
,Florero,0.62%,32
,Flores,11.22%,575
,Flores blancas,0.78%,40
,Flores marchitas,0.02%,1
,Flores rojas,0.31%,16
,Fruta,0.43%,22
,Frutas,0.20%,10
,Frutero,0.04%,2
,Frutos,0.47%,24
,Fuego,0.31%,16
,Fuente,1.50%,77
,Féretro,0.02%,1
,Gallo,0.33%,17
