,pais,Participación,conteo
Nombre artista,Andrés López,0.27%,2.0
,Angelino Medoro,0.13%,1.0
,Antonio Cortés,0.13%,1.0
,Antonio Joaquim Franco,0.13%,1.0
,Antonio Pinto,0.13%,1.0
,Antonio Salas,0.13%,1.0
,Antonio Sinchi Roca,0.27%,2.0
,Antonio Valdez y Ugarde (Oyardo),0.13%,1.0
,Antonio Vilca,3.22%,24.0
,Antonio de Espinosa,0.81%,6.0
,Antonio de Santander,0.27%,2.0
,Antonio y Nicolás Cortés,0.13%,1.0
,Antônio Simões Ribeiro,0.13%,1.0
,Anónimo,67.79%,505.0
,Baltasar Echave Orio,0.13%,1.0
,Baltasar de Echave y Rioja,0.27%,2.0
,Basilio de Santa Cruz Pumacallao,0.13%,1.0
,Benjamin West,0.13%,1.0
,Bernardo Rodríguez quiteño,0.27%,2.0
,Cristóbal de Villalpando,1.48%,11.0
,Del Rio,0.13%,1.0
,Diego Quispe Tito,1.34%,10.0
,Diego de Borgraf,0.27%,2.0
,Estevao do Loreto Joassar,1.07%,8.0
,Fabián Pérez de Medina,0.13%,1.0
,Fernando Gualpa Tupa,0.13%,1.0
,Francisco Antonio Vallejo,0.27%,2.0
,Francisco Eduardo Tresguerras,0.13%,1.0
,Francisco López y Castro,0.13%,1.0
,Francisco Pedro do Amaral,0.13%,1.0
,Francisco Salamanca,0.13%,1.0
,Francisco Silverio de Sotomayor,0.13%,1.0
,Francisco de Herrera y Velarde,0.13%,1.0
,Francisco de Padilla,0.13%,1.0
,Francisco de Quispe,0.13%,1.0
,Gregorio Gamarra,0.27%,2.0
,Gregorio Vásquez de Arce y Ceballos,0.81%,6.0
,J.B Cáceres,0.13%,1.0
,Joaquim Gonçalves da Rocha,0.13%,1.0
,Johan Georg Bergmuller,0.13%,1.0
,José Antonio Castro,0.13%,1.0
,José Joaquim da Rocha,0.67%,5.0
,José Joaquín Magón,0.13%,1.0
,José María Barajas,1.61%,12.0
,José Rodríguez Carnero,0.27%,2.0
,José Teóphilo de Jesús,0.54%,4.0
,José da Costa Andrade,0.13%,1.0
,José de Ibarra,0.40%,3.0
,José de Páez,0.13%,1.0
,José de Valladares,0.13%,1.0
,José de la Mota,0.13%,1.0
,Juan Espinoza de Los Monteros,0.13%,1.0
,Juan Gerson,0.13%,1.0
,Juan González,0.13%,1.0
,Juan Manuel Yllanes del Huerto,0.13%,1.0
,Juan Patricio Morlete Ruiz,0.40%,3.0
,Juan Pedro López,0.13%,1.0
,Juan Ramos,0.40%,3.0
,Juan Rodríguez Juárez,0.13%,1.0
,Juan de Villegas,0.13%,1.0
,Leonardo Flores,0.40%,3.0
,Lorenzo Zendejas,0.13%,1.0
,Luis de Carvajal,0.13%,1.0
,Manoel Dias de Oliveira,0.27%,2.0
,Manoel da Costa Ataíde,0.13%,1.0
,Manuel Villavicencio,0.13%,1.0
,Manuel de Samaniego,1.88%,14.0
,Marcos Zapata,0.94%,7.0
,Mateo Mexia,0.13%,1.0
,Melchor Pérez de Holguín,0.54%,4.0
,Miguel Antonio Martínez de Pocasangre,0.13%,1.0
,Miguel Cabrera,1.21%,9.0
,Miguel Jerónimo Zendejas,0.40%,3.0
,Miguel Jiménez,0.13%,1.0
,Miguel de Herrera,0.27%,2.0
,Miguel de Santiago,0.40%,3.0
,Nicolás Cortés,0.27%,2.0
,Nicolás Enríquez,0.13%,1.0
,Nicolás Javier de Goríbar,0.13%,1.0
,Nicolás Rodríguez Juárez,0.27%,2.0
,Pablo José de Talavera,0.13%,1.0
,Paredes,0.13%,1.0
,Pascual Pérez,0.13%,1.0
,Pedro Ramírez,0.27%,2.0
,Pedro Sandoval,1.61%,12.0
,Pedro de Campaña,0.13%,1.0
,Rafael Ximeno y Planes,0.13%,1.0
,Silvestre de Almeida Lopes,0.54%,4.0
,Stephan Kessler,0.27%,2.0
,Tadeo Escalante,0.27%,2.0
,Talavera ymbent,0.13%,1.0
,Vicente Pérez,0.13%,1.0
