,pais,Participación,conteo
Características particulares,Edad: Anciano,1.92%,11.0
,Edad: Niñez,10.98%,63.0
,Edad: adolescencia-Juventud,56.79%,326.0
,Edad: adulto,7.49%,43.0
,Escena: compuesta,9.23%,53.0
,Escena: simple,85.02%,488.0
,Género Masculino/femenino,2.26%,13.0
,Género femenino,0.70%,4.0
,Género masculino,11.15%,64.0
,Imagen dentro de la imagen,3.31%,19.0
,Personaje colectivo,36.93%,212.0
,Personaje individual,59.06%,339.0
,Personaje: contacto corporal,16.90%,97.0
,Personaje: desnudo parcial / total,13.07%,75.0
,Personajes: Profanos,0.17%,1.0
,Personajes: Sagrados,77.87%,447.0
,Personajes: sagrados y profanos,19.34%,111.0
,Presencia: animales,8.89%,51.0
,Presencia: niños,8.19%,47.0
,Sin datos,2.09%,12.0
