c1,c2,c3,,,v
Historia,Conquista, ,Historia,100.00%,87
Historia,Eclesiástica,Árbol genealógico,Historia,10.20%,30
Historia,Eclesiástica,Exvotos,Historia,24.15%,71
Historia,Eclesiástica,Historia Eclesiástica,Historia,15.99%,47
Historia,Eclesiástica,Iglesias retablos,Historia,7.82%,23
Historia,Eclesiástica,Milagros,Historia,28.57%,84
Historia,Eclesiástica,Procesiones,Historia,13.27%,39
Historia,Historia Universal,Historia Antigua,Historia,23.21%,13
Historia,Historia Universal,Historia Medieval,Historia,7.14%,4
Historia,Historia Universal,Historia moderna,Historia,25.00%,14
Historia,Historia Universal,Historia Norteamericana,Historia,44.64%,25
Historia,Indígena,Costumbres,Historia,33.33%,9
Historia,Indígena,Cristianización,Historia,18.52%,5
Historia,Indígena,Política e intercambio,Historia,48.15%,13
Retrato,Retrato masculino,Hombres Indígenas,Retrato,5.02%,92
Retrato,Retrato masculino,Miniaturas masculinas,Retrato,13.85%,254
Retrato,Retrato masculino,Reyes,Retrato,2.89%,53
Retrato,Retrato masculino,Virreyes,Retrato,5.02%,92
