,pais,Participación,conteo
Características particulares,Edad: Anciano,1.11%,1.00
,Edad: Niñez,3.33%,3.00
,Edad: adolescencia-Juventud,24.44%,22.00
,Edad: adulto,68.89%,62.00
,Escena: compuesta,10.00%,9.00
,Escena: simple,27.78%,25.00
,Género Masculino/femenino,58.89%,53.00
,Género femenino,8.89%,8.00
,Género masculino,22.22%,20.00
,Imagen dentro de la imagen,14.44%,13.00
,Personaje colectivo,87.78%,79.00
,Personaje individual,12.22%,11.00
,Personaje: contacto corporal,24.44%,22.00
,Personaje: desnudo parcial / total,30.00%,27.00
,Personajes: Profanos,23.33%,21.00
,Personajes: Sagrados,31.11%,28.00
,Personajes: sagrados y profanos,41.11%,37.00
,Presencia: animales,45.56%,41.00
,Presencia: niños,44.44%,40.00
