,pais,Participación,conteo
Nombre artista,A.M. Randall,0.11%,1.0
,Abraham Mignon,0.11%,1.0
,Agostino Brunias,0.11%,1.0
,Alexander Robertson,0.11%,1.0
,Allport,0.11%,1.0
,Alonso O’Crowley,1.11%,10.0
,Alvan Fisher,0.67%,6.0
,Andrés Islas,2.00%,18.0
,Andrés Sánchez Galque,0.11%,1.0
,Antonio Acero de la Cruz,0.11%,1.0
,Antonio Enriquez,0.22%,2.0
,Antonio Pérez de Aguilar,0.11%,1.0
,Antonio Ramírez Montufar,0.11%,1.0
,Antonio Valdez y Ugarde (Oyardo),0.11%,1.0
,Anónimo,46.78%,422.0
,Armand Julien Palliere,0.11%,1.0
,Basilio de Santa Cruz Pumacallao,0.11%,1.0
,Benjamin Thompson,0.11%,1.0
,Benjamin West,2.33%,21.0
,Bernardo Rodríguez,0.22%,2.0
,Bernardo de Miera,0.11%,1.0
,Bosset de Luze,0.11%,1.0
,Buenaventura José Guiol,0.33%,3.0
,Carlos Juliao,0.55%,5.0
,Charles Bird King,0.22%,2.0
,Charles Fraser,3.22%,29.0
,Charles Paul Landon,0.11%,1.0
,Cornelius de Beet,0.11%,1.0
,Cristóbal de Villalpando,0.11%,1.0
,Cristóforo Munari,0.11%,1.0
,Diego Quispe Tito,0.22%,2.0
,Diego del Carpio,0.11%,1.0
,Edward Hicks,0.22%,2.0
,Eunice Pinney,0.22%,2.0
,Ezra Ames,0.33%,3.0
,Felix Emile Taunay,0.22%,2.0
,Florentino Olivares,0.11%,1.0
,Francis Guy,0.11%,1.0
,Francisco Clapera,0.33%,3.0
,Francisco de Barrera,0.11%,1.0
,Frans Post,0.78%,7.0
,Gaspar Miguel de Berrío,0.11%,1.0
,George Catlin,0.11%,1.0
,George Ropes,0.11%,1.0
,Gerardus I Duyckinck,0.11%,1.0
,Gregorio Vásquez de Arce y Ceballos,0.22%,2.0
,Henrique Jose da Silva,0.11%,1.0
,Henry Benbridge,0.11%,1.0
,Henry Sargent,0.33%,3.0
,Ignacio María Barreda,0.11%,1.0
,Ignacio de Castro,0.78%,7.0
,J. Wiess,0.11%,1.0
,James Peale,0.78%,7.0
,Joao Francisco Muzzi,0.22%,2.0
,Joaquín Gutiérrez,0.22%,2.0
,John Greenwood,0.11%,1.0
,John Izard Middleton,0.22%,2.0
,John James Audubon,0.22%,2.0
,John Lewis Krimmel,0.11%,1.0
,John Neagle,0.11%,1.0
,John Ritto Penniman,0.33%,3.0
,John Rose,0.11%,1.0
,John S. Blunt,0.11%,1.0
,John Singleton Copley,0.78%,7.0
,John Smibert,0.11%,1.0
,John Vanderlyn,0.55%,5.0
,John Varley,0.11%,1.0
,Joshua Shaw,0.33%,3.0
,José Campeche Jordán,0.11%,1.0
,José Cortés de Alcocer,0.11%,1.0
,José Joaquín Codina,0.11%,1.0
,José Joaquín Freire,0.11%,1.0
,José Joaquín Magón,3.66%,33.0
,José María de Bastida,0.11%,1.0
,José Medina,0.11%,1.0
,José Teóphilo de Jesús,0.22%,2.0
,José de Alcíbar,0.33%,3.0
,José de Alfaro,1.33%,12.0
,José de Bustos,0.11%,1.0
,José de Ibarra,1.00%,9.0
,José de Páez,2.66%,24.0
,Juan Antonio Prado,0.11%,1.0
,Juan Correa,0.55%,5.0
,Juan Francisco Ochoa,0.22%,2.0
,Juan González,1.00%,9.0
,Juan Manuel Yllanes del Huerto,0.11%,1.0
,Juan Patricio Morlete Ruiz,2.55%,23.0
,Juan Rodríguez Juárez,0.67%,6.0
,Juan del Corral,0.33%,3.0
,Leandro Joaquín,0.67%,6.0
,Luis Berrueco,1.00%,9.0
,Luis de Mena,0.11%,1.0
,Manuel Serrano,0.11%,1.0
,Manuel de Arellano,0.44%,4.0
,Manuel de Samaniego,0.33%,3.0
,Mariano Corvacho,0.11%,1.0
,Matthew Pratt,0.11%,1.0
,Melchor Pérez de Holguín,0.11%,1.0
,Michele Felice Cornè,0.33%,3.0
,Miguel Cabrera,1.77%,16.0
,Miguel González,0.11%,1.0
,Miguel Rudecindo Contreras,0.11%,1.0
,Paolo de Matteis,0.11%,1.0
,Paul Sandby,0.11%,1.0
,Pedro de Villegas,0.11%,1.0
,Ramón Torres,1.00%,9.0
,Raphaelle Peale,0.33%,3.0
,Rembrandt Peale,0.11%,1.0
,Reverend William Gilpin,0.11%,1.0
,Robert Jr. Gilmor,0.11%,1.0
,Robert Salmon,0.22%,2.0
,Rufus Porter,0.11%,1.0
,Salome Hensel,0.11%,1.0
,Salvador Sandoval,0.11%,1.0
,Samuel F. B. Morse,0.11%,1.0
,Samuel Lewisl,0.11%,1.0
,Sarah Miriam Peale,0.11%,1.0
,Silvestre de Almeida Lopes,0.11%,1.0
,T. Davies,0.11%,1.0
,Tadeo Escalante,0.11%,1.0
,Thomas Birch,0.33%,3.0
,Thomas Cole,0.89%,8.0
,Thomas Coram,2.33%,21.0
,Thomas Doughty,0.55%,5.0
,Tomás Calderón,0.11%,1.0
,Tomás Javier de Peralta,0.11%,1.0
,Vicente Albán,0.78%,7.0
,Washington Allston,0.78%,7.0
,William Birch,0.11%,1.0
,William Blake,0.11%,1.0
,William Britton,0.11%,1.0
,William Constable,0.22%,2.0
,William James Bennett,0.22%,2.0
,William Sidney Mount,0.11%,1.0
