,pais,Participación,conteo
Características particulares,Edad: Anciano,4.55%,41.0
,Edad: Niñez,52.55%,474.0
,Edad: adolescencia-Juventud,8.54%,77.0
,Edad: adulto,77.61%,700.0
,Escena: compuesta,8.09%,73.0
,Escena: simple,90.58%,817.0
,Género Masculino/femenino,6.21%,56.0
,Género femenino,62.08%,560.0
,Género masculino,74.61%,673.0
,Imagen dentro de la imagen,3.88%,35.0
,Personaje colectivo,83.92%,757.0
,Personaje individual,5.32%,48.0
,Personaje: contacto corporal,55.43%,500.0
,Personaje: desnudo parcial / total,14.75%,133.0
,Personajes: Profanos,84.04%,758.0
,Personajes: Sagrados,0.67%,6.0
,Personajes: sagrados y profanos,3.33%,30.0
,Presencia: animales,31.60%,285.0
,Presencia: niños,49.78%,449.0
,Sin datos,0.67%,6.0
