c1,c2,c3,,,v
Santos,Santas,Mártires mujeres,Santos,27.36%,379.00
,,Santas Fundadoras de órdenes,Santos,26.21%,363.00
,,Santas mujeres,Santos,37.55%,520.00
,,Santas mujeres Iglesia Primitiva,Santos,8.88%,123.00
,Santos Masculinos, ,Santos,0.02%,1.00
,,Fundadores,Santos,27.72%,1148.00
,,Mártires hombres,Santos,8.45%,350.00
,,Santos de Iglesia Primitiva,Santos,34.87%,1444.00
,,Santos de órdenes y tradiciones,Santos,28.93%,1198.00
,Venerables y beatos,Beatas,Santos,8.52%,19.00
,,Beatos,Santos,15.25%,34.00
,,Duns Escoto,Santos,4.04%,9.00
,,Francisco Niño,Santos,0.90%,2.00
,,Gregorio López,Santos,2.24%,5.00
,,Historia de venerables,Santos,15.70%,35.00
,,Juan de Palafox,Santos,8.97%,20.00
,,Juan Diego,Santos,1.79%,4.00
,,Maria de Jesús Tomelin,Santos,1.35%,3.00
,,Mariana de Jesús,Santos,4.04%,9.00
,,Martín de Porres,Santos,2.69%,6.00
,,Mártires del Japón y Jerusalen,Santos,10.76%,24.00
,,Pedro de Betancourt,Santos,4.93%,11.00
,,Rita de Casia,Santos,11.66%,26.00
,,Salvador Horta,Santos,3.14%,7.00
,,Sebastián de Aparicio,Santos,4.04%,9.00
