,pais,Participación,conteo
Ubicación actual,,0.61%,35.0
,Alcaldía Villa de Leiva,0.02%,1.0
,Antiga Igreja Jesuitas,0.02%,1.0
,Antiguo Templo de San Francisco,0.02%,1.0
,Arnold Zingg Collection,0.02%,1.0
,Arquidiócesis BogotáColección Arquidiócesis de Bogotá,0.02%,1.0
,Art Institute of Chicago,0.02%,1.0
,Arzobispado de Buenos Aires,0.02%,1.0
,Asilo de Ancianos,0.02%,1.0
,Asociación Venezolana Amigos del Arte Colonial,0.05%,3.0
,Banco Central,0.02%,1.0
,Banco Comercial Antioqueño,0.07%,4.0
,Banco Mercantil de Venezuela,0.05%,3.0
,Banco Nacional México,0.09%,5.0
,Banco Popular,0.09%,5.0
,Banco de Crédito del Perú,0.05%,3.0
,Basilica Bom Jesús,0.02%,1.0
,Basilica Santa Rosa,0.03%,2.0
,Basilica de Guadalupe,0.03%,2.0
,Basilica de Nuestra Señora de Guanajuato,0.07%,4.0
,Basílica N Candelaria,0.02%,1.0
,Basílica NSCandelaria,0.02%,1.0
,Basílica Santuario Santa Rosa,0.12%,7.0
,Basílica de Chiquinquirá,0.19%,11.0
,Basílica de Guadalupe,0.02%,1.0
,Basílica de Guadalupe Arg,0.03%,2.0
,Basílica de Nuestra Señora de la Candelaria,0.02%,1.0
,Basílica de Nuestra Señora de la Soledad,0.09%,5.0
,Basílica de Zapopan,0.09%,5.0
,Biblioteca Universidad de Guanajuato,0.02%,1.0
,Bom Jesus de Matozinhos,0.02%,1.0
,Brooklyn Museum,0.14%,8.0
,Camarín de la Parroquía de San José,0.10%,6.0
,Capela das Reliquias Mosteiro de Sao Benito,0.02%,1.0
,Capela dorada,0.02%,1.0
,Capilla N. S Chiquinquirá,0.02%,1.0
,Capilla Real de los Naturales,0.07%,4.0
,Capilla Sagrario,0.31%,18.0
,Capilla San Roque,0.02%,1.0
,Capilla Virgen de Belén,0.05%,3.0
,Capilla de Aránzuzu,0.02%,1.0
,Capilla de Belén,0.02%,1.0
,Capilla de Canincunca,0.02%,1.0
,"Capilla de Jesús Nazareno, Marinilla",0.16%,9.0
,Capilla de Nuestra Señora de Chiquinquirá,0.02%,1.0
,Capilla de San Felipe de Jesús de la Catedral Metropolitana,0.02%,1.0
,Capilla de San José,0.19%,11.0
,Capilla de San Juan de la Cruz,0.05%,3.0
,Capilla de Santa Bárbara,0.02%,1.0
,Capilla de Titiobamba,0.05%,3.0
,Capilla de la Antigua Hacienda jesuíta de Arroyozarco,0.02%,1.0
,Capilla de la Asunción,0.03%,2.0
,Capilla de la Hacienda Calapujio,0.02%,1.0
,Capilla de la Tercera Orden,0.09%,5.0
,Capilla de la Virgen Dolorosa,0.02%,1.0
,Capilla de la Virgen Purificada,0.16%,9.0
,Capilla del Sagrario Metropolitano,0.02%,1.0
,Capilla del Santo Cristo de Tlacolula,0.07%,4.0
,Caquiaviri,0.02%,1.0
,Casa Arzobispal,0.05%,3.0
,Casa Episcopal,0.03%,2.0
,Casa Juan Martínez,0.03%,2.0
,Casa Leona Vicario,0.05%,3.0
,Casa Lorca Lima,0.10%,6.0
,Casa Magdalena Arte,0.02%,1.0
,Casa Mosquera,0.03%,2.0
,Casa Museo de Benito Juárez,0.02%,1.0
,Casa Museo del Poeta Guillermo Valencia,0.02%,1.0
,Casa Natal del Libertador,0.03%,2.0
,Casa Popenoe de la Antigua Guatemala,0.02%,1.0
,Casa Valencia,0.02%,1.0
,Casa de Ejercicios de la Tercera Orden Franciscana,0.02%,1.0
,Casa de Juan Vargas,0.07%,4.0
,Casa de Subastas Christies,0.02%,1.0
,Casa de la Cultura,0.02%,1.0
,Casa de la Cultura César Moisés Rojas P.,0.10%,6.0
,Casa de la convención,0.03%,2.0
,Casa del Marqués de San Jorge,0.14%,8.0
,Casa ejercicios de Santa Rosa,0.12%,7.0
,Casa las Marías,0.02%,1.0
,Casona de San Marcos,0.03%,2.0
,Catedral,0.66%,38.0
,Catedral Basílica de Cuzco,0.02%,1.0
,Catedral Capela-mor da Matriz,0.02%,1.0
,Catedral Metropolitana,0.28%,16.0
,Catedral Metropolitana DF,0.23%,13.0
,Catedral Santa Fe de Antioquia,0.02%,1.0
,Catedral Zamora,0.02%,1.0
,Catedral de Bogotá,0.26%,15.0
,Catedral de Cuernavaca,0.03%,2.0
,Catedral de Cuzco,0.45%,26.0
,Catedral de Guadalajara,0.02%,1.0
,Catedral de Jujuy,0.02%,1.0
,Catedral de Medellín,0.02%,1.0
,Catedral de Olinda,0.03%,2.0
,Catedral de Puebla,0.28%,16.0
,Catedral de Quito,0.07%,4.0
,Catedral de San Buenaventura,0.03%,2.0
,Catedral de San Cristóbal,0.03%,2.0
,Catedral de San Cristóbal de las Casas,0.03%,2.0
,Catedral de San Ildefonso,0.03%,2.0
