c1,c2,c3,,,v
Santos Masculinos, ,Fundadores,Santos,100.00%,1.0
,Fundadores, ,Santos,0.70%,8.0
,,Benito,Santos,0.96%,11.0
,,Bruno,Santos,0.96%,11.0
,,Camilo de Lelis,Santos,0.61%,7.0
,,Cayetano,Santos,2.96%,34.0
,,Domingo,Santos,16.20%,186.0
,,Domingo y Francisco,Santos,1.13%,13.0
,,Felipe Neri,Santos,1.66%,19.0
,,Francisco de Asís,Santos,36.85%,423.0
,,Francisco de Paula,Santos,4.44%,51.0
,,Ignacio de Loyola,Santos,18.12%,208.0
,,Juan de Dios,Santos,7.06%,81.0
,,Juan de Matta y Félix de Valois,Santos,0.44%,5.0
,,Pedro Nolasco,Santos,5.23%,60.0
,,Romualdo,Santos,0.09%,1.0
,,San Bernardo,Santos,2.61%,30.0
,Mártires hombres, ,Santos,4.00%,14.0
,,Alejo,Santos,0.86%,3.0
,,Ángelo,Santos,0.86%,3.0
,,Blas,Santos,1.43%,5.0
,,Cosme y Damián,Santos,1.14%,4.0
,,Crispín Crispino,Santos,0.57%,2.0
,,Cristóbal,Santos,16.29%,57.0
,,Emigdio,Santos,4.29%,15.0
,,Esteban,Santos,4.86%,17.0
,,Felipe de Jesús,Santos,1.43%,5.0
,,Fermín,Santos,1.14%,4.0
,,Gelasio,Santos,0.86%,3.0
,,Hipólito,Santos,1.14%,4.0
,,Jorge,Santos,0.57%,2.0
,,Juan el Bautista,Santos,28.57%,100.0
,,Justo y pastor,Santos,1.14%,4.0
,,Laureano,Santos,1.14%,4.0
,,Lorenzo,Santos,7.71%,27.0
,,Otros mártires,Santos,15.14%,53.0
,,Sebastián,Santos,6.86%,24.0
,Santos de Iglesia Primitiva, ,Santos,0.76%,11.0
,,Anacoretas y eremitas,Santos,7.48%,108.0
,,Apóstoles,Santos,39.89%,576.0
,,Evangelistas,Santos,13.99%,202.0
,,Otros santos Iglesia Primitiva,Santos,0.62%,9.0
,,Padres de la Iglesia,Santos,37.26%,538.0
,Santos de órdenes y tradiciones,Obispos Cristiandad Temprana,Santos,7.18%,86.0
,,Papas,Santos,1.25%,15.0
,,Santos Agustinos,Santos,6.18%,74.0
,,Santos benedictinos,Santos,0.17%,2.0
,,Santos Carmelitas,Santos,3.59%,43.0
,,Santos dominicos,Santos,12.94%,155.0
,,Santos Franciscanos,Santos,26.96%,323.0
,,Santos jesuitas,Santos,21.37%,256.0
,,Santos mercedarios,Santos,0.83%,10.0
,,Santos seculares medievales y de cruzada,Santos,18.86%,226.0
,,Santos sin identificar,Santos,0.67%,8.0
