,pais,Participación,conteo
Personajes,Abiathar  Sacerdote,0.02%,1
,Adán y Eva,0.02%,1
,Agatón,0.02%,1
,Agustín,0.31%,18
,Alfonso Rodríguez,0.02%,1
,Alipio de Tagaste,0.02%,1
,Amadeo IX de Saboya,0.02%,1
,Ambrosio,0.12%,7
,Amor,0.02%,1
,"Ana, Santa",0.05%,3
,"Andrés, Apóstol",0.02%,1
,"Anselmo, San",0.02%,1
,Antonio de Padua,0.45%,26
,Apolonia Santa,0.17%,10
,"Arcángel Gabriel, Fotitude Dei",0.05%,3
,Arcángel Miguel,0.19%,11
,Arcángel Rafael,0.02%,1
,Bartolomé,0.05%,3
,Basilio Magno o Grande,0.02%,1
,Beata Ana de San Bartolomé,0.02%,1
,Beata Bartolomea de Bagnesio,0.02%,1
,Beata Benvenuta Boyani,0.02%,1
,Beata Cristina,0.02%,1
,Beata Juana de Orvieto,0.02%,1
,Beata Juana princesa de Portugal,0.02%,1
,Beata Lucía de Narni,0.02%,1
,Beata Magdalena de Trino,0.02%,1
,Beata Margarita Viuda,0.02%,1
,Beata Margarita de Castelo,0.02%,1
,Beata Maria Especalata,0.02%,1
,Beata Vilana de Bottis,0.02%,1
,Beata Ymelda Lambertini,0.02%,1
,Beata Ángela de Foligno,0.02%,1
,Beato Boingsina Florentin,0.02%,1
,Beato Ceslaus Odrovanistus,0.02%,1
,Beato Cora Prim,0.02%,1
,Beato Cosradino Brion,0.02%,1
,Beato Dalmacio Moner,0.02%,1
,Beato Diego de Mevania,0.02%,1
,Beato Edigio Colonia Romano,0.02%,1
,Beato Francisco Tolosans,0.02%,1
,Beato Galertus,0.02%,1
,Beato Gil de Boncellas,0.03%,2
,Beato Ignacio de Azevedo,0.02%,1
,Beato Iván Estorta,0.02%,1
,Beato Jacobo de Ulma,0.02%,1
,Beato Jacobo de Voragine,0.02%,1
,Beato Jordán de Botterg,0.02%,1
,Beato Juan Liccio,0.02%,1
,Beato Ludovico,0.02%,1
,Beato Mateo Carreiro,0.02%,1
,Beato Paulus Ungro,0.02%,1
,Beato Petrus Cadireta Uprilencis,0.02%,1
,Beato Rainun De Plano,0.02%,1
,Beato Sebastián Maggio,0.02%,1
,Beato Sebastián de Aparicio,0.17%,10
,Beato Simón Ballacchi,0.02%,1
,"Beatriz, santa",0.02%,1
,Benito Abad,0.19%,11
,Bernardo Abad,0.50%,29
,Bernardo de Claraval,0.02%,1
,"Bibiana, santa",0.03%,2
,"Blandina, mártir",0.02%,1
,Bruno,0.19%,11
,Brígida,0.03%,2
,Buenaventura,0.02%,1
,Bárbara,1.93%,111
,Casilda santa,0.05%,3
,Catalina de Alejandría,1.46%,84
,Catalina de Bolonia,0.07%,4
,Catalina de Bosnia,0.02%,1
,Catalina de Palencia,0.02%,1
,Catalina de Ricci,0.07%,4
,Catalina de Siena,1.01%,58
,Catalina de Suecia,0.02%,1
,Cayetano,0.61%,35
,Cecilia Santa,0.23%,13
,Cirila Santa,0.02%,1
,Clara de Asís,0.71%,41
,Corte celestial,0.05%,3
,Cosme y Damián,0.05%,3
,"Cristina, mártir",0.09%,5
,Cristo,0.10%,6
,Cristóbal,0.05%,3
,"Cándida, santa",0.03%,2
,David,0.03%,2
,Demonio - Diablo - Satanás,0.16%,9
,Dimas,0.02%,1
,Dios,0.09%,5
,Domingo de Guzmán,3.43%,197
,"Dorotea, santa",0.05%,3
,Edilbega,0.02%,1
,"Elena, santa",0.09%,5
,Emperatriz escandinava,0.02%,1
,Espiritu santo,0.24%,14
,Estanislao de Kotska,0.02%,1
,Esteban,0.03%,2
,"Eulalia, santa",0.02%,1
,Eustaquio,0.05%,3
,Febronia santa,0.02%,1
,"Felipe Neri, San",0.37%,21
,"Felícitas, santa",0.02%,1
,"Filomena, santa",0.02%,1
,"Fortunata, santa",0.02%,1
,Francisca Romana,0.02%,1
,Francisco Javier,0.70%,40
,Francisco Solano,0.02%,1
,Francisco de Asís San,7.41%,426
,Francisco de Borja,0.12%,7
,Francisco de Paula,1.51%,87
,Francisco del Niño Jesús,0.03%,2
,Fray Juan Díaz,0.02%,1
,Fulgencio,0.02%,1
,Félix de Valois,0.03%,2
,Gertrudis Santa,0.73%,42
,Gregorio Magno,0.16%,9
,Gregorio XI,0.03%,2
,Gregorio de López Francisco de Siles,0.09%,5
,"Hilaria, santa",0.02%,1
,"Ignacio de Loyola, San",3.60%,207
,Ildefonso,0.12%,7
,"Irene, santa",0.02%,1
,Isabel Santa,0.28%,16
,"Isabel de Alemania, santa",0.02%,1
,Jerónimo San,0.02%,1
,Jesús,0.85%,49
,"Joaquín, San",0.05%,3
,Jorge,0.02%,1
,"José, San",0.09%,5
,Juan Apóstol,0.03%,2
,Juan Bautista,0.09%,5
,Juan Diego,0.07%,4
,Juan Nepomuceno,0.24%,14
,Juan de Dios,0.80%,46
,Juan de Matta,0.07%,4
,Juan de Sahagún,0.03%,2
,Juana de Arco,0.02%,1
,Leocadia santa,0.05%,3
,Leonardo Talaseta,0.02%,1
,Liberato,0.02%,1
,Liduvina,0.02%,1
,Lucas,0.02%,1
,"Lucia, Santa",0.57%,33
,Luis Gonzaga,0.07%,4
,Luis Gonzaga San,0.02%,1
