,pais,Participación,conteo
Ubicación actual,,0.25%,1.00
,Albany Institute of History and Arts,0.99%,4.00
,Amon Carter Museum of American Art,0.25%,1.00
,Basílica de Chiquinquirá,0.25%,1.00
,Capilla Sagrario,1.49%,6.00
,"Capilla de Domínguez Camargo, Catedral",0.25%,1.00
,"Casa de la Cultura de Elena y Fausto Burgos, Mendoza",0.25%,1.00
,Catedral,0.25%,1.00
,Catedral Nueva de Cuenca,0.25%,1.00
,Catedral de Bogotá,0.25%,1.00
,Catedral de Cuzco,3.23%,13.00
,Catedral de Puebla,0.74%,3.00
,Catedral de Salvador,0.25%,1.00
,Claustro Convento de São Francisco,0.25%,1.00
,Colección Adrianzén,0.25%,1.00
,Colección Banco Central de Reserva,1.24%,5.00
,Colección Barbosa Stern,1.24%,5.00
,Colección Costa,0.25%,1.00
,Colección Mujica Gallo,0.25%,1.00
,"Colección Thoma, Kenilworth, Illinois",0.25%,1.00
,Colección Universidad de Los Andes,0.25%,1.00
,Colección particular,4.22%,17.00
,Colección Órden Agustina,0.25%,1.00
,Colegio del Rosario,0.25%,1.00
,Convento Carmelitas,0.25%,1.00
,Convento Carmelitas descalzas,0.25%,1.00
,Convento Descalzas,0.74%,3.00
,Convento Franciscano de San Gabriel,0.25%,1.00
,Convento La Merced,0.99%,4.00
,Convento de La Merced,1.24%,5.00
,Convento de Nossa Senhora do Carmo,0.25%,1.00
,Convento de San Francisco,1.49%,6.00
,Convento de Santa Catalina,0.99%,4.00
,Convento de la buena muerte,0.25%,1.00
,Convento de los Descalzos,2.23%,9.00
,Convento la Merced,0.25%,1.00
,Denver Art Museum,0.25%,1.00
,Gibbes Museum of Art,0.50%,2.00
,Iglesia Barichara,0.25%,1.00
,Iglesia Hualaoyo,3.72%,15.00
,Iglesia Madre Nuestra Señora del pilar,0.25%,1.00
,Iglesia Nuestra Señora del Carmen,0.25%,1.00
,Iglesia San Ignacio,0.50%,2.00
,Iglesia Santo Domingo,0.25%,1.00
,Iglesia Señora del Pilar,0.25%,1.00
,Iglesia catedral de San Antonio,1.24%,5.00
,Iglesia de Acomayo,0.74%,3.00
,Iglesia de Cohoni,0.25%,1.00
,Iglesia de Hualoyo,0.74%,3.00
,Iglesia de Huanoquite,0.99%,4.00
,Iglesia de Humahuaca,1.74%,7.00
,Iglesia de Maras,0.50%,2.00
,Iglesia de Paucartambo,0.25%,1.00
,Iglesia de San Felipe Neri La Profesa,0.25%,1.00
,Iglesia de San Francisco,7.69%,31.00
,Iglesia de San Francisco de Asís,4.22%,17.00
,Iglesia de San Juan Bautista,0.50%,2.00
,Iglesia de San Marán,0.25%,1.00
,"Iglesia de San Miguel, Tomave.",1.74%,7.00
,Iglesia de San Pablo Apóstol,0.25%,1.00
,Iglesia de San Pedro,0.74%,3.00
,Iglesia de San Sebastián,0.74%,3.00
,Iglesia de Santa Cruz,0.25%,1.00
,Iglesia de Santa Rosa,0.25%,1.00
,Iglesia de Santiago,0.25%,1.00
,Iglesia de Santiago Apóstol,0.74%,3.00
,Iglesia de Señora del Pilar,0.25%,1.00
,Iglesia de Surite,1.49%,6.00
,Iglesia de Turmequé,0.50%,2.00
,Iglesia de la Compañía de Jesús,3.72%,15.00
,Iglesia de la Merced,0.25%,1.00
,Iglesia de la Peña,1.24%,5.00
,Iglesia de las Nieves,0.99%,4.00
,Iglesia del convento de sao Francisco,0.25%,1.00
,Iglesia nuestra señora del pilar,0.25%,1.00
,"Igreja Matriz de Nossa Senhora de Nazaré, Cachoeira do Campo",0.50%,2.00
,Igreja da Ordem Terceira de São Francisco,0.25%,1.00
,Igreja de Nossa Senhora do Carmo,1.24%,5.00
,Igreja de Nossa Senhora do Pilar,0.25%,1.00
,Instituto Nacional de Cultura,0.25%,1.00
,Monasterio Santa Clara la Real,0.25%,1.00
,Monasterio del Carmen de San José,0.50%,2.00
,Mosteiro de São Benito,0.74%,3.00
,Museo Arquidiocesano de Arte religioso,0.50%,2.00
,Museo Banco Central de Ecuador,0.25%,1.00
,Museo Bazán y Bustos,0.25%,1.00
,"Museo Capilla de los Dolores, Conjunto Monumental de San Francisco",2.23%,9.00
,Museo Francisco Cristóbal Toro,0.25%,1.00
,Museo Fray Pedro Gocial,0.25%,1.00
,Museo Nacional,0.25%,1.00
,Museo Nacional del Virreinato,2.23%,9.00
,Museo Pedro de Osma,0.25%,1.00
,Museo Regional de Guadalupe,0.25%,1.00
,Museo Soumaya,0.74%,3.00
,Museo colonial,1.24%,5.00
,Museo de Arte Colonial,0.25%,1.00
,Museo de Arte Religioso,0.25%,1.00
,Museo de Arte de Filadelfia,0.50%,2.00
,Museo de Santa Teresa,0.50%,2.00
,"Museo de Santo Domingo, Quito",2.23%,9.00
,"Museo de la Evangelización, Ex convento Franciscano de San Miguel",0.25%,1.00
,Museo de la Moneda,0.25%,1.00
,Museo del Carmen,0.50%,2.00
,Museo del Convento de Santa Teresa,0.25%,1.00
,Museo del Convento de los descalzos,0.25%,1.00
,Museo del Exconvento del Carmen,0.25%,1.00
,Museos universitarios,0.25%,1.00
,Museu de Arte Sacra da Universidade Federal da Bahia,0.74%,3.00
,Museu de Arte da Bahia,0.50%,2.00
,Museum of Fine Arts of Boston,0.50%,2.00
,National Gallery of Art,0.74%,3.00
,Parroquia de San Andrés de Cholula,0.25%,1.00
,Parroquia de San José,0.50%,2.00
,Parroquia de la Virgen de la Natividad,0.50%,2.00
,Peyton Wright Gallery,0.50%,2.00
,Pinacoteca Virreinal San Diego,0.50%,2.00
,Pinacoteca de San Felipe Neri,0.25%,1.00
,SD,0.74%,3.00
,Santa Casa de Loreto,0.25%,1.00
,Smithsonian American Art Museum,0.25%,1.00
,Sotocoro del convento franciscano de San Miguel de Tecamachalco,3.47%,14.00
,Templo Conventual del Carmen,0.25%,1.00
,Templo San Francisco Acatepec,0.25%,1.00
,Templo San Francisco Nartex,0.25%,1.00
,Templo de Surite,0.25%,1.00
,Templo del Carmen de Celaya,0.25%,1.00
,Templo del Convento del Carmen,0.25%,1.00
,Templo del Ex convento Dominico de Santa Rosa de Lima,0.25%,1.00
,Tercera Franciscana Seglar,0.25%,1.00
,Tercera orden Franciscana seglar,2.98%,12.00
,Worcester Art Museum,0.25%,1.00
,s.d.,0.25%,1.00
,¿?,0.50%,2.00
