,pais,Participación,conteo
Características particulares,Edad: Anciano,40.69%,164.0
,Edad: Niñez,0.25%,1.0
,Edad: adolescencia-Juventud,7.20%,29.0
,Edad: adulto,84.62%,341.0
,Escena: compuesta,72.46%,292.0
,Escena: simple,26.80%,108.0
,Género Masculino/femenino,4.47%,18.0
,Género femenino,34.00%,137.0
,Género masculino,92.06%,371.0
,Personaje colectivo,67.99%,274.0
,Personaje individual,31.51%,127.0
,Personaje: contacto corporal,10.67%,43.0
,Personaje: desnudo parcial / total,16.87%,68.0
,Personajes: Profanos,60.79%,245.0
,Personajes: Sagrados,5.21%,21.0
,Personajes: sagrados y profanos,33.50%,135.0
,Presencia: animales,26.05%,105.0
,Presencia: niños,17.12%,69.0
,Sin datos,0.25%,1.0
