,pais,Participación,conteo
Características particulares,Edad: Anciano,17.28%,89.0
,Edad: Niñez,1.55%,8.0
,Edad: adolescencia-Juventud,3.11%,16.0
,Edad: adulto,89.90%,463.0
,Escena: compuesta,85.24%,439.0
,Escena: simple,4.27%,22.0
,Género Masculino/femenino,52.82%,272.0
,Género femenino,54.56%,281.0
,Género masculino,83.69%,431.0
,Imagen dentro de la imagen,0.97%,5.0
,Personaje colectivo,91.07%,469.0
,Personaje individual,5.63%,29.0
,Personaje: contacto corporal,23.50%,121.0
,Personaje: desnudo parcial / total,48.74%,251.0
,Personajes: Profanos,8.16%,42.0
,Personajes: Sagrados,30.87%,159.0
,Personajes: sagrados y profanos,59.81%,308.0
,Presencia: animales,6.99%,36.0
,Presencia: niños,4.47%,23.0
,Sin datos,1.75%,9.0
