,pais,Participación,conteo
Características particulares,Cruz Patriarcal,0.06%,1
,Edad: Anciano,27.49%,452
,Edad: Niñez,6.93%,114
,Edad: adolescencia-Juventud,6.14%,101
,Edad: adulto,62.59%,"1,029"
,Escena: compuesta,15.75%,259
,Escena: simple,48.18%,792
,Género Masculino/femenino,16.36%,269
,Género femenino,1.40%,23
,Género masculino,47.20%,776
,Imagen dentro de la imagen,0.97%,16
,Personaje colectivo,36.31%,597
,Personaje individual,43.13%,709
,Personaje: contacto corporal,14.84%,244
,Personaje: desnudo parcial / total,30.66%,504
,Personajes: Profanos,1.16%,19
,Personajes: Sagrados,26.34%,433
,Personajes: sagrados y profanos,37.23%,612
,Presencia: animales,10.22%,168
,Presencia: niños,6.75%,111
,Sin datos,35.04%,576
