c1,c2,c3,,,v
Retrato,Retrato de familias,Grupo familiar,Retrato,33.33%,40
Retrato,Retrato de familias,Madre-hijo,Retrato,35.00%,42
Retrato,Retrato de familias,Padre-hijo,Retrato,13.33%,16
Retrato,Retrato de familias,Parejas,Retrato,18.33%,22
Retrato,Retrato de niños,Grupo de niños,Retrato,17.42%,31
Retrato,Retrato de niños,Niños muertos,Retrato,2.25%,4
Retrato,Retrato de niños,Retrato individual infantil,Retrato,80.34%,143
Retrato,Retrato femenino,Europeas y criollas,Retrato,60.21%,516
Retrato,Retrato femenino,Miniaturas femeninas,Retrato,14.70%,126
Retrato,Retrato femenino,Monjas,Retrato,21.82%,187
Retrato,Retrato femenino,Mujeres indígenas,Retrato,2.45%,21
Retrato,Retrato femenino,Reinas,Retrato,0.82%,7
Retrato,Retrato masculino,Europeos y criollos,Retrato,72.74%,"1,334"
Retrato,Retrato masculino,Funerario masculino,Retrato,0.49%,9
Retrato,Retrato masculino,Hombres Indígenas,Retrato,5.02%,92
Retrato,Retrato masculino,Miniaturas masculinas,Retrato,13.85%,254
Retrato,Retrato masculino,Reyes,Retrato,2.89%,53
Retrato,Retrato masculino,Virreyes,Retrato,5.02%,92
