,pais,Participación,conteo
Características particulares,Cruz Patriarcal,0.43%,13
,Edad: Anciano,10.04%,300
,Edad: Niñez,9.94%,297
,Edad: adolescencia-Juventud,6.39%,191
,Edad: adulto,57.34%,1714
,Escena: compuesta,2.01%,60
,Escena: simple,64.54%,1929
,Género Masculino/femenino,4.15%,124
,Género femenino,32.12%,960
,Género masculino,43.63%,1304
,Imagen dentro de la imagen,3.38%,101
,Personaje colectivo,6.46%,193
,Personaje individual,72.97%,2181
,Personaje: contacto corporal,2.94%,88
,Personaje: desnudo parcial / total,1.00%,30
,Personajes: Profanos,57.34%,1714
,Personajes: Sagrados,1.24%,37
,Personajes: sagrados y profanos,1.47%,44
,Presencia: animales,4.15%,124
,Presencia: niños,9.07%,271
