,pais,Participación,conteo
Nombre artista, Aguilar,0.01%,1
, Castroverde,0.01%,1
, J. H.,0.01%,1
, MacKay,0.01%,1
, Oviedo,0.01%,1
,A Nava,0.01%,1
,A. Ellis,0.01%,1
,A. Haddock,0.01%,1
,A. Pino,0.01%,1
,A. Pérez,0.01%,1
,A.M. Randall,0.01%,1
,Aaron Dean Fletcher,0.01%,2
,Aaron Haugthon Corwine,0.01%,1
,Abraham Mignon,0.01%,1
,Abraham Tuthill,0.01%,1
,Adam Buck,0.01%,1
,Adolf Ulric Wertmüller,0.02%,3
,Agostino Brunias,0.01%,1
,Agustín Del Pino,0.02%,3
,Agustín García Zorro de Useche,0.03%,5
,Agustín Sojo,0.01%,1
,Agustín Zamora,0.01%,1
,Albert Eckout,0.01%,2
,Alexander Robertson,0.02%,3
,Alfonso de Zarate,0.01%,1
,Alfonso Álvarez de Urrutia,0.01%,1
,Allport,0.01%,1
,Alonso Cano,0.02%,3
,Alonso Franco,0.01%,1
,Alonso Hernández de Heredia,0.03%,5
,Alonso López de Herrera,0.10%,19
,Alonso O’Crowley,0.05%,10
,Alonso Sánchez Coello,0.01%,1
,Alonso Vera de la Cruz,0.01%,1
,Alonso Vázquez,0.01%,2
,Alonso de Arandia,0.01%,1
,Alonso de Narváez,0.01%,1
,Alonso de Ponte,0.01%,2
,Alvan Fisher,0.03%,6
,Ambrose Duval,0.01%,1
,Ambrosio del Pino,0.01%,1
,Ammi Phillips,0.15%,28
,Andrew Robertson,0.01%,1
,Andrés Islas,0.16%,31
,Andrés Lagarto,0.01%,2
,Andrés López,0.14%,26
,Andrés Pozzo,0.01%,1
,Andrés Sánchez Galque,0.03%,6
,Andrés de Liébana,0.01%,1
,Andrés de la Concha,0.14%,26
,Angelino Medoro,0.22%,43
,Angelus Nardi,0.01%,1
,Anna Claypoole Peale,0.03%,6
,Anselmo López,0.01%,2
,Anson Dickinson,0.03%,5
,Antonio Acero de la Cruz,0.14%,27
,Antonio Anselmo Benítez,0.01%,1
,Antonio Astudillo,0.01%,2
,Antonio Azuero,0.01%,1
,Antonio Bermejo,0.01%,2
,Antonio Cortés,0.01%,2
,Antonio Cárdenas,0.01%,1
,Antonio Enriquez,0.01%,2
,Antonio Ergueta,0.01%,1
,Antonio Estrada,0.03%,6
,Antonio Joaquim Franco,0.04%,8
,Antonio José Landaeta,0.05%,9
,Antonio Martins da Silveira,0.01%,1
,Antonio Mermejo,0.01%,2
,Antonio Molleno,0.02%,3
,Antonio Montúfar (Cuzco y Charcas),0.04%,8
,Antonio Palacios,0.11%,22
,Antonio Pinto,0.01%,1
,Antonio Pérez de Aguilar,0.01%,1
,Antonio Ramírez Montufar,0.01%,1
,Antonio Rodrigues Belo,0.01%,1
,Antonio Rodríguez,0.04%,8
,Antonio Salas,0.04%,8
,Antonio Sinchi Roca,0.16%,30
,Antonio Sánchez,0.01%,1
,Antonio Valdez y Ugarde (Oyardo),0.03%,6
,Antonio Vilca,0.23%,45
,Antonio de Campo,0.01%,2
,Antonio de Espinosa,0.03%,6
,Antonio de Heredia,0.01%,1
,Antonio de Montúfar (Guatemala),0.01%,1
,Antonio de Santander,0.05%,10
,Antonio de Torres,0.04%,7
,Antonio y Nicolás Cortés,0.06%,12
,Antônio Simões Ribeiro,0.10%,20
,Anónimo,61.69%,11844
,Archibald Robertson,0.02%,3
,Armand Julien Palliere,0.01%,1
,Arthur Devis,0.01%,1
,Ary Scheffer,0.01%,1
,Asahel Powers,0.02%,3
,Ascencio Cabrera,0.01%,2
,Ascencio Palacios,0.01%,2
,B. Silani Sillberg,0.01%,1
,B. san Pedro,0.01%,1
,Balderrama,0.01%,1
,Baltasar Echave Ibía,0.11%,21
,Baltasar Echave Orio,0.17%,32
,Baltasar Vargas de Figueroa,0.81%,155
,Baltasar de Echave y Rioja,0.08%,15
,"Baltasar de Figueroa ""EL Viejo""",0.09%,18
,Bartolomé Alonso de Cazales,0.02%,3
,Bartolomé Pérez,0.01%,1
,Bartolomé Román,0.04%,7
,Basilio Pacheco,0.19%,37
,Basilio de Salazar,0.02%,3
,Basilio de Santa Cruz Pumacallao,0.42%,81
,Bass Otis,0.02%,3
,Beardsley Limner,0.03%,5
,Benavides,0.01%,1
,Benito Muñoz,0.01%,1
,Benjamin Greenleaf,0.02%,3
,Benjamin Thompson,0.01%,1
,Benjamin Trott,0.03%,6
,Benjamin West,0.36%,70
,Bento José Rufino Campinam,0.02%,4
,Bermúdez,0.01%,1
,Bernabé Nina,0.02%,4
,Bernabé de Ayala,0.01%,1
,Bernardo Bitti,0.18%,35
,Bernardo Legarda,0.01%,2
,Bernardo Pires da Silva,0.01%,2
,Bernardo Rodríguez,0.06%,11
,Bernardo Rodríguez quiteño,0.24%,46
,Bernardo de Miera,0.01%,1
,Blas Muñoz del Barco,0.01%,1
,Blas Tupac Amaru,0.02%,3
,Blas de Torres,0.01%,1
,Bosset de Luze,0.01%,1
,Buenaventura José Guiol,0.02%,3
,C. Astudillo,0.01%,1
,C. Bak,0.01%,1
,C. D. Cook,0.01%,1
,Cabrera,0.01%,2
,Caetano da Costa Coelho,0.05%,9
,Camus,0.01%,1
,Carl Weinedel,0.01%,1
,Carlos Clemente López,0.05%,9
,Carlos Juliao,0.03%,5
,Carlos Maratta,0.01%,1
,Carlos Sánchez de Medina,0.03%,6
,Carlos de Villalpando,0.01%,1
,Carolus Quesada,0.01%,1
,Cavalli,0.01%,1
,Cavicchia,0.01%,1
,Cephas Thompson,0.05%,10
,Charles Balthazar Julien Fevret de Saint-Memin,0.01%,1
,Charles Bird King,0.06%,12
,Charles Bridges,0.01%,1
,Charles Cromwell Ingham,0.01%,1
,Charles Fraser,0.36%,70
,Charles Frederick Von Breda,0.01%,2
,Charles Hénard,0.01%,2
,Charles Paul Landon,0.01%,1
,Charles Peale Polk,0.06%,11
,Charles Polk,0.01%,1
,Charles Robertson,0.01%,1
,Charles Willson Peale,0.34%,66
,Charlotte-Marguerite de Bourbon,0.01%,1
,Chaves,0.01%,1
,Chester Harding,0.10%,19
,Christian Dittrich,0.01%,1
,Christian Gullager,0.05%,9
,Cipriano Toledo y Gutiérrez,0.02%,4
,Cornelius de Beet,0.01%,1
,Cosmo Alexander,0.03%,5
,Cristóbal Lozano,0.07%,13
,Cristóbal de Aguilar,0.06%,11
,Cristóbal de Talavera,0.01%,1
,Cristóbal de Villalpando,1.09%,210
,Cristóforo Munari,0.01%,1
,D. Peña,0.01%,1
,Daniel Bautista,0.01%,1
,Daniel Dickinson,0.01%,1
,Daniel Hendrickson,0.01%,1
,David Boudon,0.01%,2
,David Freake-Gibbs,0.02%,3
,Del Rio,0.01%,1
,Diego Aguilera,0.04%,8
,Diego Becerra,0.01%,1
,Diego Calderón,0.02%,4
,Diego Carrasco,0.01%,1
,Diego Cusi Guamán,0.03%,6
,Diego Domínguez Sanabria,0.01%,1
,Diego José Hilaris,0.03%,6
,Diego Pérez,0.01%,1
,Diego Quispe Tito,0.46%,89
,Diego Samaniego,0.02%,4
,Diego Vásquez,0.01%,1
,Diego de Aliaga,0.08%,16
,Diego de Borgraf,0.17%,32
,Diego de Casanova,0.01%,1
,Diego de Cuentas,0.02%,4
,Diego de Mendoza,0.01%,1
,Diego de Ocaña,0.01%,1
,Diego de Sanabria,0.01%,2
,Diego de Torres,0.01%,1
,Diego de la Puente,0.07%,13
,Diego del Carpio,0.01%,2
,Domingo Carro,0.02%,4
,Domingo Maestre,0.01%,2
,Domingo de Vasconcellos,0.14%,26
,Domingos da Costa Filgueiras,0.01%,1
,Ebenezer Mack,0.01%,1
,Edward Greene Malbone,0.11%,21
,Edward Heaton,0.01%,1
,Edward Hicks,0.02%,4
,Edward Miles,0.01%,1
,Edward Savage,0.04%,8
,Edwin Plummer,0.01%,1
,Edwin T. Billings,0.01%,1
,Eliab Metcalf,0.01%,2
,Eliza Goodridge,0.01%,1
,Emanuel López,0.01%,1
,Enrique Nicolás,0.01%,1
,Erastus Salisbury Field,0.06%,12
,Esteban Zeballos,0.01%,1
,Estevao do Loreto Joassar,0.04%,8
,Ethan Allen Greenwood,0.02%,3
,Eunice Pinney,0.02%,4
,Eusebio de Matos,0.01%,2
,Ezra Ames,0.10%,20
,Fabián Pérez de Medina,0.01%,1
,Faustino Galindo,0.01%,1
,Felipe Fabres,0.01%,1
,Felipe García,0.02%,4
,Felipe Guamán Poma de Ayala,0.01%,1
,Felipe de Rivera,0.01%,2
,Felix Emile Taunay,0.01%,2
,Fernando Gualpa Tupa,0.01%,1
,Fernando Álvarez Carneiro,0.03%,6
,Florentino Olivares,0.02%,3
,Francesco Salviati,0.01%,1
,Francis Alexander,0.01%,1
,Francis Cotes,0.01%,1
,Francis Guy,0.01%,1
,Francis Martin Drexel,0.01%,2
,Francis Rabineau,0.01%,2
,Francisco Albán,0.14%,27
,Francisco Antonio Vallejo,0.13%,24
,Francisco Bejarano,0.01%,1
,Francisco Benito de Miranda,0.01%,1
,Francisco Bezerra,0.01%,2
,Francisco Carden,0.01%,1
,Francisco Chihuantito,0.01%,2
,Francisco Clapera,0.03%,5
,Francisco Contreras,0.03%,5
,Francisco Eduardo Tresguerras,0.03%,6
,Francisco Estanislao Goyena y Odaly,0.01%,1
,Francisco Javier Cortés,0.04%,8
,Francisco Javier Salazar,0.01%,2
,Francisco Javier de Cuenca,0.01%,1
,Francisco Javier de Santander,0.01%,1
,Francisco Javier de la Rosa,0.01%,2
,Francisco José de Lerma y Villegas,0.05%,9
,Francisco Lovera,0.01%,1
,Francisco López y Castro,0.03%,5
,Francisco Macías,0.01%,1
,Francisco Martínez,0.16%,30
,Francisco Morales Van Den Eynden,0.03%,5
,Francisco Morlete,0.01%,1
,Francisco Ochoa,0.01%,1
,Francisco Ortega,0.01%,2
,Francisco Pacheco,0.01%,1
,Francisco Pedro do Amaral,0.01%,2
,Francisco Rodríguez Juárez,0.01%,1
,Francisco Rondón,0.01%,1
,Francisco Ríos,0.01%,1
,Francisco Salamanca,0.02%,4
,Francisco Serrano,0.06%,11
,Francisco Silverio de Sotomayor,0.01%,1
,Francisco Solano,0.01%,2
,Francisco Trevisani,0.01%,1
,Francisco Varela,0.01%,1
,Francisco Velázquez,0.02%,3
,Francisco Xavier Carneiro,0.04%,7
,Francisco da Silva Romão,0.01%,1
,Francisco de Barrera,0.01%,1
,Francisco de Escobar,0.02%,3
,Francisco de Herrera y Velarde,0.04%,8
,Francisco de León,0.02%,3
,Francisco de Morales,0.01%,1
,Francisco de Padilla,0.03%,6
,Francisco de Paula Oliveira Dias,0.02%,3
,Francisco de Quispe,0.01%,1
,Francisco de Sandoval,0.01%,1
,Francisco de Zurbarán,0.10%,20
,Francisco del Pozo,0.03%,5
,Francois Joseph Navez,0.01%,1
,Frank William Wilkin,0.01%,1
,Frans Post,0.04%,7
,Frederick Kemmelmeyer,0.01%,1
,Frederick W. Mayhew,0.02%,3
,Fredrick Buck,0.01%,1
,Félix Ospino,0.01%,1
,Félix Zarte,0.01%,1
,G.E.,0.01%,1
,Gabriel José Ovalle,0.02%,3
,Gabriel Ugarte,0.01%,2
,Gabriel de Zúñiga,0.01%,1
,Gaspar Conrado,0.03%,5
,Gaspar Miguel de Berrío,0.13%,25
,Gaspar Muñoz,0.02%,3
,Gaspar de Angulo,0.01%,1
,Gaspar de Figueroa,0.28%,54
,George Bickham,0.01%,1
,George Catlin,0.09%,17
,George Dame,0.01%,1
,George Engleheart,0.03%,6
,George Freeman,0.01%,1
,George Place,0.01%,1
,George Romney,0.01%,2
,George Ropes,0.01%,1
,George William West,0.01%,1
,Gerardus I Duyckinck,0.03%,6
,Gerónimo Gutiérrez,0.01%,1
,Geslain,0.01%,1
,Gil de Castro,0.01%,2
,Gilbert Stuart,0.75%,144
,Girolamo Muziano,0.01%,1
,Gregorio Carvallo de la Parra,0.01%,2
,Gregorio Gamarra,0.05%,10
,Gregorio José de Lara,0.01%,2
,Gregorio Romero,0.01%,1
,Gregorio Solís,0.01%,2
,Gregorio Sánchez,0.01%,2
,Gregorio Vásquez de Arce y Ceballos,2.69%,517
,Guillermo Forchaudt,0.02%,4
,Guillermo del Valle,0.01%,1
,Gustavus Hesselius,0.02%,3
,Gutiérrez,0.01%,1
,Hendrich de Clerk,0.01%,1
,Henri-Joseph Johns,0.01%,1
,Henrietta De Beaulieu Dering Johnston,0.02%,3
,Henrique Jose da Silva,0.01%,2
,Henry Benbridge,0.10%,19
