,pais,Participación,conteo
Características particulares,Cruz Patriarcal,0.09%,17
,Edad: Anciano,11.29%,2167
,Edad: Niñez,16.63%,3192
,Edad: adolescencia-Juventud,9.01%,1729
,Edad: adulto,59.13%,11353
,Escena: compuesta,21.18%,4067
,Escena: simple,46.85%,8995
,Género Masculino/femenino,18.19%,3493
,Género femenino,24.48%,4700
,Género masculino,38.52%,7395
,Imagen dentro de la imagen,2.43%,467
,Personaje colectivo,43.14%,8283
,Personaje individual,28.65%,5500
,Personaje: contacto corporal,15.95%,3062
,Personaje: desnudo parcial / total,16.58%,3183
,Personajes: Profanos,16.07%,3086
,Personajes: Sagrados,34.35%,6595
,Personajes: sagrados y profanos,17.92%,3440
,Presencia: animales,11.16%,2142
,Presencia: niños,18.95%,3639
,Sin datos,27.82%,5341
,,,
,,,
,,,
,,,
,,,
,,,
,,,
